frame,Root,arm_link_1,arm_link_2,arm_link_3
1,0.0,0.0,-2.67,-0.0
2,0.0,0.0,-1.16,-0.0
3,0.0,0.0,1.24,-0.0
4,0.0,0.0,4.47,-0.0
5,0.0,0.0,8.43,-0.0
6,0.0,0.0,13.04,-0.0
7,0.0,0.0,18.21,-0.0
8,0.0,0.0,23.8,-0.0
9,0.0,0.0,29.7,-0.0
10,0.0,0.0,35.75,-0.0
11,0.0,-0.42,41.81,0.0
12,0.0,-1.61,47.7,-0.0
13,0.0,-3.5,53.3,-0.0
14,0.0,-6.01,58.46,-0.0
15,0.0,-9.05,63.08,-0.0
16,0.0,-12.52,67.04,-0.0
17,0.0,-16.33,70.26,-0.0
18,0.0,-20.36,72.67,0.0
19,0.0,-24.51,74.17,-0.0
20,0.0,-28.68,74.7,-0.0
21,0.0,-32.79,74.46,-0.0
22,0.0,-36.74,73.78,0.0
23,0.0,-40.48,72.67,-0.0
24,0.0,-43.94,71.16,0.0
25,0.0,-47.06,69.28,-0.0
26,0.0,-49.79,67.04,-0.0
27,0.0,-52.05,64.48,-0.0
28,0.0,-53.76,61.61,-0.0
29,0.0,-54.85,58.46,-0.0
30,0.0,-55.24,55.08,0.0
31,0.0,-55.24,51.48,-0.0
32,0.0,-55.24,47.7,-0.0
33,0.0,-55.24,43.8,-0.0
34,0.0,-55.24,39.8,-0.0
35,0.0,-55.24,35.75,-0.0
36,0.0,-54.57,31.71,-0.0
37,0.0,-52.68,27.71,-0.0
38,0.0,-49.79,23.8,-0.0
39,0.0,-46.06,20.03,-0.0
40,0.0,-41.66,16.43,-0.0
41,0.0,-36.74,13.04,-0.0
42,0.0,-31.43,9.9,-0.0
43,0.0,-25.9,7.03,0.0
44,0.0,-20.36,4.47,-0.0
45,0.0,-15.03,2.23,-0.0
46,0.0,-10.16,0.35,-0.0
47,0.0,-6.01,-1.16,-0.0
48,0.0,-2.8,-2.27,0.0
49,0.0,-0.73,-2.96,0.0
50,0.0,0.0,-3.19,0.0
