frame,torso,joint_right_shoulder_pitch,joint_right_shoulder_roll,joint_right_arm_yaw,joint_right_elbow_pitch,joint_right_forearm_yaw,joint_right_wrist_pitch,joint_right_wrist_roll,hand_right_pinky,hand_right_ring,hand_right_middle,hand_right_index,hand_right_thumb,joint_left_shoulder_pitch,joint_left_shoulder_roll,joint_left_arm_yaw,joint_left_elbow_pitch,joint_left_forearm_yaw,joint_left_wrist_pitch,joint_left_wrist_roll,hand_left_pinky,hand_left_middle,hand_left_ring,hand_left_thumb,hand_left_index,joint_head_yaw,joint_head_pitch
1,0.0,27.07,-0.0,-0.0,80.0,-0.0,-12.75,-0.0,90.0,90.0,90.0,0.0,9.36,27.07,-0.0,-0.0,80.0,0.0,-16.76,0.0,90.0,90.0,90.0,-0.0,0.0,-0.0,-0.0
2,0.0,27.07,-0.0,-0.0,80.0,-0.0,-3.2,-0.0,90.0,90.0,90.0,0.0,31.68,27.07,-0.0,-0.0,80.0,0.0,-16.76,0.0,90.0,90.0,90.0,-0.0,0.0,-0.0,-0.0
3,0.0,27.07,-0.0,-0.0,80.0,-0.0,8.21,-0.0,90.0,90.0,90.0,-0.0,58.32,27.07,-0.0,-0.0,80.0,0.0,-16.76,0.0,90.0,90.0,90.0,-0.0,0.0,-0.0,-0.0
4,0.0,27.07,-0.0,-0.0,80.0,-0.0,17.76,-0.0,90.0,90.0,90.0,0.0,80.64,27.07,-0.0,-0.0,80.0,0.0,-16.76,0.0,90.0,90.0,90.0,-0.0,0.0,-0.0,-0.0
5,0.0,27.07,-0.0,-0.0,80.0,-0.0,21.77,-0.0,90.0,90.0,90.0,-0.0,90.0,27.07,-0.0,-0.0,80.0,0.0,-16.76,0.0,90.0,90.0,90.0,-0.0,0.0,-0.0,-0.0
6,0.0,27.07,-0.0,-0.0,80.0,-0.0,21.77,-0.0,90.0,90.0,90.0,-0.0,90.0,27.07,-0.0,-0.0,80.0,0.0,-16.76,0.0,90.0,90.0,90.0,-0.0,0.0,-0.0,-0.0
7,0.0,27.07,-0.0,-0.0,80.0,-0.0,21.77,-0.0,90.0,90.0,90.0,-0.0,90.0,27.07,-0.0,-0.0,80.0,0.0,-16.76,0.0,90.0,90.0,90.0,-0.0,0.0,-0.0,-0.0
8,0.0,27.07,-0.0,-0.0,80.0,-0.0,21.56,0.0,90.0,90.0,90.0,-0.0,89.5,27.07,-0.0,-0.0,80.0,0.0,-16.76,0.0,90.0,90.0,90.0,-0.0,0.0,-0.0,-0.0
9,0.0,27.07,-0.0,-0.0,80.0,-0.0,20.95,0.0,90.0,90.0,90.0,0.0,88.08,27.07,-0.0,-0.0,80.0,0.0,-16.76,0.0,90.0,90.0,90.0,-0.0,0.0,-0.0,-0.0
10,0.0,27.07,-0.0,-0.0,80.0,-0.0,19.97,-0.0,90.0,90.0,90.0,-0.0,85.81,27.07,-0.0,-0.0,80.0,0.0,-16.76,0.0,90.0,90.0,90.0,-0.0,0.0,-0.0,-0.0
11,0.0,27.07,-0.0,-0.0,80.0,-0.0,18.68,0.0,90.0,90.0,90.0,-0.0,82.78,27.07,-0.0,-0.0,80.0,0.0,-16.76,0.0,90.0,90.0,90.0,-0.0,0.0,-0.0,-0.0
12,0.0,27.07,-0.0,-0.0,80.0,-0.0,17.1,0.0,90.0,90.0,90.0,-0.0,79.09,27.07,-0.0,-0.0,80.0,0.0,-16.76,0.0,90.0,90.0,90.0,-0.0,0.0,-0.0,-0.0
13,0.0,27.07,-0.0,-0.0,80.0,-0.0,15.27,-0.0,90.0,90.0,90.0,-0.0,74.82,27.07,-0.0,-0.0,80.0,0.0,-16.76,0.0,90.0,90.0,90.0,-0.0,0.0,-0.0,-0.0
14,0.0,27.07,-0.0,-0.0,80.0,-0.0,13.24,0.0,90.0,90.0,90.0,-0.0,70.06,27.07,-0.0,-0.0,80.0,0.0,-16.76,0.0,90.0,90.0,90.0,-0.0,0.0,-0.0,-0.0
15,0.0,27.07,-0.0,-0.0,80.0,-0.0,11.03,-0.0,90.0,90.0,90.0,0.0,64.91,27.07,-0.0,-0.0,80.0,0.0,-16.76,0.0,90.0,90.0,90.0,-0.0,0.0,-0.0,-0.0
16,0.0,27.07,-0.0,-0.0,80.0,-0.0,8.69,-0.0,90.0,90.0,90.0,-0.0,59.44,27.07,-0.0,-0.0,80.0,0.0,-16.76,0.0,90.0,90.0,90.0,-0.0,0.0,-0.0,-0.0
17,0.0,27.07,-0.0,-0.0,80.0,-0.0,6.25,-0.0,90.0,90.0,90.0,-0.0,53.75,27.07,-0.0,-0.0,80.0,0.0,-16.76,0.0,90.0,90.0,90.0,-0.0,0.0,-0.0,-0.0
