frame,torso,joint_right_shoulder_pitch,joint_right_shoulder_roll,joint_right_arm_yaw,joint_right_elbow_pitch,joint_right_forearm_yaw,joint_right_wrist_pitch,joint_right_wrist_roll,hand_right_pinky,hand_right_ring,hand_right_middle,hand_right_index,hand_right_thumb,joint_left_shoulder_pitch,joint_left_shoulder_roll,joint_left_arm_yaw,joint_left_elbow_pitch,joint_left_forearm_yaw,joint_left_wrist_pitch,joint_left_wrist_roll,hand_left_pinky,hand_left_middle,hand_left_ring,hand_left_thumb,hand_left_index,joint_head_yaw,joint_head_pitch
1,0.0,0.0,-0.0,0.07,0.15,0.15,0.0,-0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.15,0.15,-0.0,-0.07,0.0,0.0,-0.0,-0.0,0.0,-0.0,-29.76
2,0.0,0.0,-0.0,0.07,0.15,0.15,0.0,-0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.15,0.15,-0.0,-0.07,0.0,0.0,-0.0,-0.0,0.0,-0.0,-29.76
3,0.0,0.0,-0.0,0.07,0.15,0.15,0.0,-0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.15,0.15,-0.0,-0.07,0.0,0.0,-0.0,-0.0,0.0,-0.0,-29.76
4,0.0,0.0,-0.0,0.07,0.15,0.15,0.0,-0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.15,0.15,-0.0,-0.07,0.0,0.0,0.0,0.0,0.0,-0.0,-29.76
5,0.0,0.0,-0.0,0.07,0.15,0.15,0.0,-0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.15,0.15,0.0,-0.07,0.0,0.0,-0.0,0.0,0.0,-0.0,-29.76
6,0.0,0.0,-0.0,0.07,0.15,0.15,0.0,-0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.15,0.15,-0.0,-0.07,0.0,0.0,0.0,-0.0,0.0,-0.0,-29.76
7,0.0,0.0,-0.0,0.07,0.15,0.15,0.0,-0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.15,0.15,-0.0,-0.07,0.0,0.0,0.0,-0.0,0.0,-0.0,-29.76
8,0.0,0.0,-0.0,0.07,0.15,0.15,0.0,-0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.15,0.15,-0.0,-0.07,0.0,0.0,-0.0,0.0,0.0,-0.0,-29.76
9,0.0,0.0,-0.0,0.07,0.15,0.15,0.0,-0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.15,0.15,-0.0,-0.07,0.0,0.0,0.0,0.0,0.0,-0.0,-29.76
10,0.0,0.0,-0.0,0.07,0.15,0.15,0.0,-0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.15,0.15,-0.0,-0.07,0.0,0.0,-0.0,0.0,0.0,-0.0,-29.76
11,0.0,0.0,-0.0,0.07,0.15,0.15,0.0,-0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.15,0.15,-0.0,-0.07,0.0,0.0,0.0,-0.0,0.0,-0.0,-29.76
12,0.0,0.0,-0.0,0.07,0.15,0.15,0.0,-0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.15,0.15,-0.0,-0.07,0.0,0.0,-0.0,-0.0,0.0,-0.0,-29.76
13,0.0,0.0,-0.0,0.07,0.15,0.15,0.0,-0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.15,0.15,-0.0,-0.07,0.0,0.0,-0.0,-0.0,0.0,-0.0,-29.76
14,0.0,0.0,-0.0,0.07,0.15,0.15,0.0,-0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.15,0.15,-0.0,-0.07,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-29.76
15,0.0,0.0,-0.0,0.07,0.15,0.15,0.0,-0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.15,0.15,-0.0,-0.07,0.0,0.0,-0.0,0.0,0.0,-0.0,-29.76
16,0.0,0.0,-0.0,0.07,0.15,0.15,0.0,-0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.15,0.15,-0.0,-0.07,0.0,0.0,-0.0,0.0,0.0,-0.0,-29.76
17,0.0,0.0,-0.0,0.07,0.15,0.15,0.0,-0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.15,0.15,-0.0,-0.07,0.0,0.0,0.0,-0.0,0.0,-0.0,-29.76
18,0.0,0.0,-0.0,0.07,0.15,0.15,0.0,-0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.15,0.15,-0.0,-0.07,0.0,0.0,0.0,0.0,0.0,-0.0,-29.76
19,0.0,0.0,-0.0,0.07,0.15,0.15,0.0,-0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.15,0.15,-0.0,-0.07,0.0,0.0,-0.0,0.0,0.0,-0.0,-29.76
