frame,torso,joint_right_shoulder_pitch,joint_right_shoulder_roll,joint_right_arm_yaw,joint_right_elbow_pitch,joint_right_forearm_yaw,joint_right_wrist_pitch,joint_right_wrist_roll,hand_right_pinky,hand_right_ring,hand_right_middle,hand_right_index,hand_right_thumb,joint_left_shoulder_pitch,joint_left_shoulder_roll,joint_left_arm_yaw,joint_left_elbow_pitch,joint_left_forearm_yaw,joint_left_wrist_pitch,joint_left_wrist_roll,hand_left_pinky,hand_left_middle,hand_left_ring,hand_left_thumb,hand_left_index,joint_head_yaw,joint_head_pitch
1,0.0,0.0,-0.0,0.07,0.15,0.15,0.0,-0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.15,0.15,-0.0,-0.07,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0
2,0.0,0.0,0.03,0.07,0.15,0.15,0.0,-0.09,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.03,0.07,0.15,0.15,-0.0,-0.07,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0
3,0.0,0.0,0.13,0.07,0.15,0.15,0.0,-0.09,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.13,0.07,0.15,0.15,-0.0,-0.07,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0
4,0.0,0.0,0.26,0.07,0.15,0.15,-0.0,-0.09,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.26,0.07,0.15,0.15,0.0,-0.07,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0
5,0.0,0.0,0.42,0.07,0.15,0.15,0.0,-0.09,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.42,0.07,0.15,0.15,0.0,-0.07,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0
6,0.0,0.0,0.58,0.07,0.15,0.15,0.0,-0.09,0.0,0.0,0.0,0.0,-0.0,0.0,0.58,0.07,0.15,0.15,0.0,-0.07,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
7,0.0,0.0,0.74,0.07,0.15,0.15,0.0,-0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.74,0.07,0.15,0.15,-0.0,-0.07,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0
8,0.0,0.0,0.87,0.07,0.15,0.15,0.0,-0.09,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.87,0.07,0.15,0.15,0.0,-0.07,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0
9,0.0,0.0,0.97,0.07,0.15,0.15,0.0,-0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.97,0.07,0.15,0.15,0.0,-0.07,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
10,0.0,0.0,1.0,0.07,0.15,0.15,0.0,-0.09,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.07,0.15,0.15,-0.0,-0.07,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0
11,0.0,0.0,0.99,0.07,0.15,0.15,0.0,-0.09,0.0,0.0,0.0,0.0,-0.0,0.0,0.99,0.07,0.15,0.15,0.0,-0.07,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0
12,0.0,0.0,0.97,0.07,0.15,0.15,0.0,-0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.97,0.07,0.15,0.15,0.0,-0.07,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0
13,0.0,0.0,0.93,0.07,0.15,0.15,0.0,-0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.93,0.07,0.15,0.15,0.0,-0.07,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0
14,0.0,0.0,0.88,0.07,0.15,0.15,0.0,-0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.88,0.07,0.15,0.15,0.0,-0.07,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0
15,0.0,0.0,0.84,0.07,0.15,0.15,-0.0,-0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.84,0.07,0.15,0.15,-0.0,-0.07,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
16,0.0,0.0,0.79,0.07,0.15,0.15,0.0,-0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.79,0.07,0.15,0.15,-0.0,-0.07,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0
17,0.0,0.0,0.74,0.07,0.15,0.15,0.0,-0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.74,0.07,0.15,0.15,0.0,-0.07,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0
18,0.0,0.0,0.71,0.07,0.15,0.15,0.0,-0.09,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.71,0.07,0.15,0.15,-0.0,-0.07,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0
19,0.0,0.0,0.68,0.07,0.15,0.15,0.0,-0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.68,0.07,0.15,0.15,0.0,-0.07,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
20,0.0,0.0,0.67,0.07,0.15,0.15,-0.0,-0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.07,0.15,0.15,0.0,-0.07,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0
21,0.0,0.0,0.68,0.07,0.15,0.15,0.0,-0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.68,0.07,0.15,0.15,0.0,-0.07,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0
22,0.0,0.0,0.71,0.07,0.15,0.15,0.0,-0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.71,0.07,0.15,0.15,-0.0,-0.07,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
23,0.0,0.0,0.76,0.07,0.15,0.15,-0.0,-0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.07,0.15,0.15,0.0,-0.07,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
24,0.0,0.0,0.82,0.07,0.15,0.15,0.0,-0.09,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.82,0.07,0.15,0.15,-0.0,-0.07,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
25,0.0,0.0,0.88,0.07,0.15,0.15,0.0,-0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.88,0.07,0.15,0.15,0.0,-0.07,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0
26,0.0,0.0,0.94,0.07,0.15,0.15,0.0,-0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.94,0.07,0.15,0.15,0.0,-0.07,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0
27,0.0,0.0,1.0,0.07,0.15,0.15,-0.0,-0.09,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.07,0.15,0.15,0.0,-0.07,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
28,0.0,0.0,1.05,0.07,0.15,0.15,-0.0,-0.09,0.0,0.0,0.0,0.0,0.0,0.0,1.05,0.07,0.15,0.15,0.0,-0.07,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0
29,0.0,0.0,1.08,0.07,0.15,0.15,0.0,-0.09,-0.0,-0.0,-0.0,-0.0,0.0,0.0,1.08,0.07,0.15,0.15,-0.0,-0.07,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0
